station	QoS	latitude	code	longitude	revision
Jaworzno	excellent	50.20528	PL	19.27498	28 Mar 2020
Casa Blanca	good	19.04222	MX	-98.11889	04/30/2023, 00:00:00
Gandia	good	38.96667	ES	-0.18333	16 Feb 2025
Barra dos Coqueiros	good	-10.90889	BR	-37.03861	05 Sep 2022
Bhayandar	good	19.30157	IN	72.85107	10 Jun 2016
Thomasville	good	35.88264	US	-80.08199	2020/02/22
Southsea	good	50.79205	GB	-1.08593	2016-06-13
Yunguyo	excellent	-16.25	PE	-69.08333	01/22/2024, 00:00:00
Lagarto	good	-10.91722	BR	-37.65	05/07/2022, 00:00:00
Mardin	good	37.31309	TR	40.74357	2020-01-23
Smolyan	acceptable	41.57439	BG	24.71204	06 Dec 2020
Kati	maintenance	12.74409	ML	-8.07257	2021-04-04
Houthalen	good	51.03427	BE	5.37429	27 Jul 2017
Cibinong	good	-6.48167	ID	106.85417	2016-04-16
Dobrush	good	52.4089	BY	31.3237	10/09/2018, 00:00:00
Yauco	excellent	18.03496	PR	-66.8499	07/17/2025, 00:00:00
Le Chesnay	good	48.8222	FR	2.12213	14 Jun 2020
San Fernando de Henares	good	40.42386	ES	-3.53261	2018-11-25
Xiangtan	acceptable	27.85	CN	112.9	10 Mar 2018
Shahre Jadide Andisheh	excellent	35.6803	IR	51.0193	2023-08-30
Milagro	good	-2.13404	EC	-79.59415	2022-08-26
Cibinong	good	-6.48167	ID	106.85417	18 Oct 2023
Penzance	good	50.11861	GB	-5.53715	2016/11/28
Porterville	acceptable	36.06523	US	-119.01677	2019/04/18
Recodo	good	6.95194	PH	121.96361	11/21/2020, 00:00:00
Shepetivka	maintenance	50.18545	UA	27.06365	2024-02-02
Shinshiro	good	34.9	JP	137.5	25 Jul 2020
Kendall	good	25.67927	US	-80.31727	08/03/2019, 00:00:00
Schiebroek	excellent	51.95838	NL	4.47124	03/24/2022, 00:00:00
Independence	excellent	39.09112	US	-94.41551	19 Apr 2023
Newbury	acceptable	51.40148	GB	-1.32471	2023/04/23
Simpang	good	-1.26424	ID	104.09701	09/02/2021, 00:00:00
Itabirito	good	-20.25333	BR	-43.80139	2021/09/23
Villabate	good	38.07789	IT	13.44275	2019-12-20
Madhipura	excellent	25.92127	IN	86.79271	10/18/2016, 00:00:00
Ishim	good	56.11281	RU	69.49015	2018-10-05
Smolyan	good	41.57439	BG	24.71204	08/30/2025, 00:00:00
Carindale	good	-27.50578	AU	153.10236	2019-08-10
Ponta Delgada	acceptable	37.74615	PT	-25.66689	10 Jun 2019
Talipparamba	excellent	12.04161	IN	75.35927	10/01/2017, 00:00:00
Las Gabias	excellent	37.13548	ES	-3.67029	06 May 2021
Gingee	good	12.25282	IN	79.41727	2024/07/03
Davangere	good	14.46693	IN	75.92694	2021-06-25
Licheng	good	23.29549	CN	113.82465	2020/04/03
Dipolog	excellent	8.56697	PH	123.33471	2022-01-06
Caravaca	good	38.10558	ES	-1.86343	2025-05-13
Sainte-Catherine	good	45.40008	CA	-73.58248	2017/09/07
Palmeira	good	-25.42944	BR	-50.00639	11 Jun 2019
